epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,648.012,1.00693,2.00922,1.00009,1.24609,0,0.91796,0.84043,0.90642,0.68502,0.92957,0.85106,0.89698,0.57572,0.89305,1.59741,0.69271,1.10239,0,0.0017327,0.0017327,0.0017327
29,670.967,1.03522,1.93323,0.95151,1.25932,0,0.9276,0.84043,0.89392,0.69316,0.91312,0.85106,0.9012,0.57737,0.82552,1.46505,0.69185,1.10104,0,0.0017228,0.0017228,0.0017228
30,693.824,0.95659,1.88882,0.90804,1.20644,0,0.89652,0.85106,0.90293,0.61668,0.89652,0.85106,0.90647,0.59204,0.84038,1.50028,0.81871,1.13686,0,0.0017129,0.0017129,0.0017129
31,716.656,0.99151,1.94645,0.94535,1.23155,0,0.92447,0.85106,0.94119,0.70078,0.92447,0.85106,0.94318,0.58193,0.7624,1.69166,0.60969,1.067,0,0.001703,0.001703,0.001703
32,739.527,1.02876,1.98654,0.98213,1.25489,0,0.92809,0.84043,0.86564,0.66742,0.92809,0.84043,0.86564,0.57168,0.80171,1.48009,0.85228,1.07177,0,0.0016931,0.0016931,0.0016931
33,762.361,0.9477,1.88796,0.89145,1.21781,0,0.93009,0.84918,0.91133,0.68339,0.93009,0.84918,0.91123,0.56428,0.94326,1.58947,0.69698,1.14609,0,0.0016832,0.0016832,0.0016832
34,785.225,0.98479,1.89981,0.9123,1.23553,0,0.92023,0.85908,0.91996,0.69641,0.92023,0.85908,0.9164,0.59663,0.86712,1.50468,0.79001,1.08737,0,0.0016733,0.0016733,0.0016733
35,808.107,0.9734,1.99183,0.85177,1.2255,0,0.91854,0.84043,0.92297,0.7192,0.91084,0.8694,0.92372,0.57939,0.74118,1.70509,0.78305,1.02432,0,0.0016634,0.0016634,0.0016634
36,831.022,0.96144,1.96161,0.91002,1.21005,0,0.91952,0.85079,0.91907,0.68036,0.91952,0.85079,0.91056,0.57487,0.74633,1.55151,0.71033,1.04236,0,0.0016535,0.0016535,0.0016535
37,853.923,0.94825,1.91418,0.89156,1.20646,0,0.92973,0.84449,0.92059,0.7008,0.92973,0.84449,0.91596,0.57691,0.81322,1.51269,0.63736,1.06912,0,0.0016436,0.0016436,0.0016436
38,876.855,0.96497,1.88967,0.90315,1.21513,0,0.91856,0.83989,0.9,0.67157,0.91856,0.83989,0.90122,0.57419,0.87596,1.57852,0.69809,1.12343,0,0.0016337,0.0016337,0.0016337
39,899.769,0.99766,1.91919,0.90958,1.24304,0,0.92621,0.85106,0.9305,0.68843,0.92748,0.84043,0.92307,0.58018,0.8877,1.5806,0.70618,1.12628,0,0.0016238,0.0016238,0.0016238
40,922.711,0.99361,1.92887,0.91161,1.22693,0,0.90696,0.84043,0.89538,0.6914,0.90646,0.85106,0.90164,0.54829,0.76699,1.56954,0.73029,1.06439,0,0.0016139,0.0016139,0.0016139
41,945.621,0.9682,1.95836,0.89886,1.21527,0,0.91072,0.87234,0.94026,0.70313,0.91072,0.87234,0.94026,0.57965,0.79135,1.52272,0.63087,1.07194,0,0.001604,0.001604,0.001604
42,968.525,0.9511,1.88215,0.89947,1.20151,0,0.9248,0.88298,0.93567,0.70821,0.9248,0.88298,0.93866,0.59799,0.74975,1.42965,0.66078,1.05247,0,0.0015941,0.0015941,0.0015941
43,991.418,0.95188,1.89838,0.88777,1.21861,0,0.93323,0.80851,0.88089,0.6537,0.93323,0.80851,0.88254,0.56472,0.74449,1.66342,0.71944,1.06498,0,0.0015842,0.0015842,0.0015842
44,1014.33,0.98314,1.9265,0.8683,1.21842,0,0.91558,0.85106,0.91558,0.67749,0.90386,0.84043,0.90966,0.57336,0.79596,1.48131,0.66474,1.07438,0,0.0015743,0.0015743,0.0015743
45,1037.31,0.93604,1.85593,0.89662,1.22252,0,0.92427,0.85106,0.92987,0.71092,0.92427,0.85106,0.92251,0.57846,0.76131,1.64102,0.634,1.05518,0,0.0015644,0.0015644,0.0015644
46,1060.26,0.91038,1.83865,0.8708,1.19253,0,0.88181,0.87307,0.93859,0.70225,0.87114,0.86302,0.92844,0.58918,0.82609,1.48108,0.63583,1.07551,0,0.0015545,0.0015545,0.0015545
47,1083.24,0.93236,1.84321,0.87501,1.20464,0,0.91881,0.84279,0.89994,0.67739,0.90723,0.83235,0.89202,0.54031,0.86324,1.67224,0.73156,1.09904,0,0.0015446,0.0015446,0.0015446
48,1106.19,0.95226,1.94022,0.89204,1.21856,0,0.81131,0.84043,0.88698,0.62464,0.81131,0.84043,0.88698,0.54145,0.83774,1.52598,0.73113,1.07908,0,0.0015347,0.0015347,0.0015347
49,1129.16,0.92042,1.80567,0.88216,1.17836,0,0.93449,0.84043,0.92278,0.70801,0.92266,0.82979,0.91189,0.58277,0.71843,1.63225,0.63917,1.03882,0,0.0015248,0.0015248,0.0015248
50,1152.05,0.93527,1.87164,0.84895,1.2078,0,0.93946,0.84043,0.93621,0.69024,0.93946,0.84043,0.93171,0.60013,0.8375,1.44982,0.61208,1.08992,0,0.0015149,0.0015149,0.0015149
51,1174.92,0.87212,1.76142,0.80822,1.15545,0,0.90907,0.85081,0.9281,0.69797,0.92043,0.86144,0.93221,0.58248,0.8646,1.41257,0.59768,1.09481,0,0.001505,0.001505,0.001505
52,1197.84,0.90619,1.82063,0.83425,1.19181,0,0.888,0.8617,0.93523,0.69991,0.888,0.8617,0.93086,0.59635,0.71294,1.53,0.58902,1.04631,0,0.0014951,0.0014951,0.0014951
53,1220.74,0.89631,1.69209,0.81665,1.17234,0,0.95147,0.83436,0.93194,0.72629,0.95147,0.83436,0.92402,0.6034,0.71663,1.5177,0.61087,1.01107,0,0.0014852,0.0014852,0.0014852
54,1243.66,0.91893,1.79467,0.85033,1.1912,0,0.91465,0.82979,0.93325,0.69872,0.91465,0.82979,0.92852,0.59712,0.80753,1.47022,0.66153,1.06642,0,0.0014753,0.0014753,0.0014753
55,1266.64,0.88166,1.78314,0.80334,1.17,0,0.88275,0.81915,0.91402,0.69588,0.88275,0.81915,0.91275,0.58175,0.80736,1.50518,0.66559,1.06327,0,0.0014654,0.0014654,0.0014654
56,1289.59,0.94982,1.80567,0.85109,1.19893,0,0.94095,0.84765,0.92862,0.70056,0.94095,0.84765,0.93133,0.58271,0.81977,1.58808,0.55161,1.07738,0,0.0014555,0.0014555,0.0014555
57,1312.53,0.92646,1.81502,0.81571,1.19714,0,0.93944,0.82521,0.91676,0.68136,0.90752,0.8352,0.91521,0.58472,0.80651,1.42787,0.62834,1.08519,0,0.0014456,0.0014456,0.0014456
58,1335.47,0.89504,1.80805,0.83515,1.1647,0,0.94881,0.85106,0.93891,0.70018,0.93679,0.84043,0.93267,0.59647,0.81452,1.44784,0.66227,1.06741,0,0.0014357,0.0014357,0.0014357
59,1358.44,0.87092,1.71783,0.79031,1.16264,0,0.92104,0.86869,0.95208,0.72492,0.92104,0.86869,0.95089,0.59633,0.74083,1.46033,0.55678,1.04821,0,0.0014258,0.0014258,0.0014258
60,1381.36,0.94659,1.77954,0.85204,1.21378,0,0.94891,0.85106,0.93425,0.67165,0.94891,0.85106,0.9349,0.58117,0.91582,1.51095,0.61882,1.15345,0,0.0014159,0.0014159,0.0014159
61,1404.35,0.89758,1.75042,0.79246,1.18197,0,0.9064,0.82418,0.9075,0.68158,0.89446,0.81146,0.89749,0.56274,0.70615,1.54555,0.61867,1.06181,0,0.001406,0.001406,0.001406
62,1427.35,0.91095,1.75136,0.85107,1.18099,0,0.86451,0.81456,0.92305,0.70183,0.85474,0.84043,0.90565,0.57587,0.77748,1.50124,0.61702,1.06416,0,0.0013961,0.0013961,0.0013961
63,1450.31,0.83877,1.61726,0.7543,1.14038,0,0.92924,0.8382,0.91287,0.72051,0.92924,0.8382,0.91236,0.60903,0.74188,1.37375,0.62076,1.04055,0,0.0013862,0.0013862,0.0013862
64,1473.32,0.89663,1.72814,0.80839,1.18263,0,0.92936,0.80851,0.91495,0.69768,0.92936,0.80851,0.91086,0.58505,0.72851,1.45182,0.60447,1.05259,0,0.0013763,0.0013763,0.0013763
65,1496.27,0.87352,1.77786,0.83206,1.16112,0,0.86235,0.85106,0.92701,0.71111,0.87171,0.87234,0.93364,0.60405,0.76232,1.38085,0.61242,1.06305,0,0.0013664,0.0013664,0.0013664
66,1519.24,0.86729,1.73564,0.82358,1.1506,0,0.91675,0.85106,0.93456,0.7144,0.91675,0.85106,0.93456,0.60048,0.78102,1.39859,0.58805,1.0694,0,0.0013565,0.0013565,0.0013565
67,1542.23,0.88519,1.71161,0.79001,1.17224,0,0.92651,0.82979,0.92582,0.70188,0.92651,0.82979,0.93405,0.60056,0.77817,1.40014,0.61972,1.08187,0,0.0013466,0.0013466,0.0013466
68,1565.14,0.86981,1.76604,0.82597,1.16115,0,0.90401,0.81915,0.91607,0.69952,0.86179,0.86233,0.91713,0.59816,0.81216,1.46309,0.62375,1.06641,0,0.0013367,0.0013367,0.0013367
69,1588.1,0.90041,1.73903,0.78368,1.17827,0,0.92735,0.8617,0.92738,0.69065,0.92735,0.8617,0.92738,0.5817,0.78145,1.45416,0.52066,1.07474,0,0.0013268,0.0013268,0.0013268
70,1611.04,0.86704,1.68069,0.7821,1.16469,0,0.87341,0.88298,0.93916,0.70906,0.87341,0.88298,0.93132,0.60681,0.74803,1.38754,0.54085,1.05347,0,0.0013169,0.0013169,0.0013169
71,1634,0.85109,1.75288,0.76713,1.16023,0,0.90665,0.85106,0.92066,0.70114,0.89532,0.84043,0.90764,0.57626,0.82967,1.56792,0.56548,1.09281,0,0.001307,0.001307,0.001307
72,1656.95,0.88393,1.70128,0.80744,1.1678,0,0.90022,0.86383,0.94825,0.71553,0.89841,0.87234,0.93987,0.6026,0.82199,1.50723,0.55625,1.06589,0,0.0012971,0.0012971,0.0012971
73,1679.93,0.83886,1.67831,0.74377,1.13159,0,0.87274,0.87234,0.94079,0.70882,0.87274,0.87234,0.93316,0.58862,0.79066,1.44926,0.54118,1.04921,0,0.0012872,0.0012872,0.0012872
74,1702.83,0.81756,1.62867,0.7605,1.1331,0,0.94929,0.84043,0.93944,0.71416,0.92921,0.83786,0.9378,0.61237,0.78974,1.43876,0.51124,1.07057,0,0.0012773,0.0012773,0.0012773
75,1725.75,0.87592,1.68643,0.76287,1.17084,0,0.96305,0.83179,0.93985,0.70038,0.95073,0.82116,0.92728,0.59933,0.71437,1.38817,0.53185,1.03593,0,0.0012674,0.0012674,0.0012674
76,1748.71,0.83945,1.61747,0.75536,1.1401,0,0.8974,0.8375,0.92799,0.7319,0.8974,0.8375,0.92799,0.60365,0.70337,1.39354,0.53452,1.02836,0,0.0012575,0.0012575,0.0012575
77,1771.63,0.82226,1.67929,0.74945,1.13043,0,0.91509,0.84043,0.91806,0.70581,0.91509,0.84043,0.92292,0.60423,0.73927,1.42285,0.57525,1.04635,0,0.0012476,0.0012476,0.0012476
78,1794.57,0.83266,1.66505,0.76296,1.14425,0,0.92136,0.8725,0.92682,0.70451,0.92136,0.8725,0.9307,0.59362,0.81914,1.39429,0.53669,1.08747,0,0.0012377,0.0012377,0.0012377
79,1817.53,0.81494,1.68524,0.71036,1.13386,0,0.96804,0.84043,0.94361,0.73558,0.96804,0.84043,0.94316,0.62407,0.74089,1.36458,0.51493,1.03644,0,0.0012278,0.0012278,0.0012278
80,1840.48,0.81765,1.66444,0.73756,1.13206,0,0.93013,0.84974,0.93609,0.6896,0.93013,0.84974,0.93609,0.60583,0.80523,1.37592,0.57345,1.08375,0,0.0012179,0.0012179,0.0012179
81,1863.47,0.82508,1.61132,0.74398,1.13851,0,0.91792,0.83284,0.93677,0.72036,0.91792,0.83284,0.93677,0.60491,0.82724,1.39621,0.56296,1.07897,0,0.001208,0.001208,0.001208
