epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,762.338,1.16506,1.86847,1.02971,0.01669,1.06756,0.92089,0.81915,0.89158,0.62831,0.92089,0.81915,0.88824,0.5854,1.07073,1.39445,0.69434,0.02601,0,0.0017327,0.0017327,0.0017327
29,789.389,1.18932,1.86665,1.01789,0.01608,0.97889,0.9125,0.77661,0.86334,0.55735,0.9125,0.77661,0.85881,0.50818,1.15293,1.50977,0.91792,0.03241,0,0.0017228,0.0017228,0.0017228
30,816.474,1.14908,1.84438,1.00102,0.0155,1.01563,0.88446,0.8144,0.90314,0.63632,0.88446,0.8144,0.88958,0.53651,0.89052,1.43853,0.8175,0.02131,0,0.0017129,0.0017129,0.0017129
31,843.574,1.09848,1.80155,0.99973,0.01487,0.93295,0.89375,0.84043,0.91375,0.65638,0.89864,0.84888,0.92167,0.55112,0.88884,1.4775,0.81651,0.02051,0,0.001703,0.001703,0.001703
32,870.611,1.1751,1.92988,1.07387,0.01605,1.07615,0.87567,0.82424,0.87788,0.63085,0.86842,0.82979,0.87417,0.56601,0.85673,1.54754,0.84348,0.02091,0,0.0016931,0.0016931,0.0016931
33,897.671,1.1914,1.84952,1.04481,0.0161,1.03021,0.91854,0.80851,0.90704,0.6442,0.88279,0.85106,0.92047,0.5897,0.9683,1.35835,0.61903,0.02143,0,0.0016832,0.0016832,0.0016832
34,924.738,1.17436,1.87587,1.01058,0.01617,0.97678,0.92812,0.79787,0.89638,0.66218,0.92812,0.79787,0.88633,0.58497,0.86946,1.36163,0.73955,0.01986,0,0.0016733,0.0016733,0.0016733
35,951.816,1.12452,1.86123,0.97752,0.01496,1.0085,0.92045,0.86165,0.90429,0.63799,0.92045,0.86165,0.90109,0.56143,0.95033,1.42236,0.58834,0.02298,0,0.0016634,0.0016634,0.0016634
36,978.878,1.11402,1.86468,1.00079,0.0146,1.0056,0.90004,0.85106,0.90302,0.62396,0.90004,0.85106,0.89696,0.57628,0.96774,1.37254,0.61157,0.02642,0,0.0016535,0.0016535,0.0016535
37,1005.94,1.11214,1.841,0.98093,0.01468,0.96744,0.87528,0.81915,0.88498,0.60689,0.87528,0.81915,0.88498,0.57397,1.07938,1.34322,0.71877,0.02532,0,0.0016436,0.0016436,0.0016436
