epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3399,1.15272,2.83093,2.25277,1.37827,0,0.93359,0.81915,0.84285,0.4923,0.93359,0.81915,0.84094,0.41867,0.97631,2.89316,2.12365,1.26571,0,0.000657005,0.000657005,0.000657005
2,46.6737,1.18593,2.52103,1.73961,1.3659,0,0.8723,0.79936,0.84026,0.48942,0.8723,0.79936,0.83843,0.43372,1.28381,2.10767,2.0889,1.47658,0,0.00131712,0.00131712,0.00131712
3,68.0119,1.35724,2.59107,1.76259,1.44554,0,0.6687,0.74468,0.73865,0.45912,0.45037,0.35106,0.25101,0.04283,1.23776,5.98896,1.673,1.39283,0,0.00197063,0.00197063,0.00197063
4,89.4108,1.20534,2.48878,1.51518,1.35712,0,0.89412,0.80851,0.84284,0.64107,0.89412,0.80851,0.84052,0.45517,0.86514,2.35624,1.45551,1.1315,0,0.0019703,0.0019703,0.0019703
5,110.762,1.2634,2.42555,1.46296,1.3875,0,0.9308,0.84043,0.85695,0.64631,0.91902,0.82979,0.84691,0.49313,0.91204,1.8966,1.44184,1.15713,0,0.0019604,0.0019604,0.0019604
6,132.14,1.18484,2.32744,1.3371,1.34402,0,0.93477,0.81915,0.89166,0.62693,0.93477,0.81915,0.88369,0.51515,1.00774,1.90313,0.99813,1.2214,0,0.0019505,0.0019505,0.0019505
7,153.658,1.23569,2.34722,1.36592,1.37167,0,0.89773,0.82979,0.87046,0.64019,0.89773,0.82979,0.86586,0.52463,0.87077,1.89606,1.40144,1.13123,0,0.0019406,0.0019406,0.0019406
8,175.048,1.12923,2.27458,1.14517,1.30742,0,0.90299,0.81915,0.86237,0.65195,0.91485,0.82979,0.86368,0.52748,0.78289,1.80928,0.93892,1.10973,0,0.0019307,0.0019307,0.0019307
9,196.551,1.17258,2.22382,1.19422,1.33417,0,0.91658,0.81822,0.86557,0.60726,0.91658,0.81822,0.87318,0.52946,0.94031,1.64945,1.14169,1.15245,0,0.0019208,0.0019208,0.0019208
10,218.097,1.12646,2.27009,1.19802,1.2938,0,0.90679,0.85106,0.8928,0.64586,0.89546,0.84043,0.86016,0.4616,0.90891,2.15304,0.92533,1.15632,0,0.0019109,0.0019109,0.0019109
11,239.581,1.08987,2.17094,1.07877,1.28352,0,0.81553,0.79952,0.82084,0.52684,0.81553,0.79952,0.82184,0.48908,1.29682,1.83711,1.11209,1.33132,0,0.001901,0.001901,0.001901
